symbolId,symbol,bid,ask,timestamp
135,NDXUSD,2140850000,2141011000,1747421598400
41,XAUUSD,318694000,318719000,1747421598274
41,XAUUSD,318690000,318718000,1747421598888
135,NDXUSD,2140891000,2141052000,1747421598923
41,XAUUSD,318694000,0,1747421599186
135,NDXUSD,0,2141050000,1747421599236
41,XAUUSD,318690000,318720000,1747421599338
41,XAUUSD,318709000,318734000,1747421599489
41,XAUUSD,0,318740000,1747421599639
135,NDXUSD,2140848000,2141012000,1747421599742
41,XAUUSD,318704000,318732000,1747421599789
135,NDXUSD,2140878000,2141042000,1747421599908
135,NDXUSD,2140848000,2141012000,1747421600105
135,NDXUSD,2140870000,2141032000,1747421600332
41,XAUUSD,318703000,318733000,1747421600707
135,NDXUSD,2140849000,2141011000,1747421600922
135,NDXUSD,2140899000,2141062000,1747421601104
135,NDXUSD,2140919000,2141080000,1747421601255
135,NDXUSD,2140901000,2141062000,1747421601407
135,NDXUSD,2140881000,2141040000,1747421601557
135,NDXUSD,2140890000,2141049000,1747421601707
41,XAUUSD,318704000,318734000,1747421601771
135,NDXUSD,2140918000,2141081000,1747421601857
135,NDXUSD,2140901000,2141062000,1747421602008
41,XAUUSD,318698000,0,1747421602252
135,NDXUSD,2140920000,2141082000,1747421602408
135,NDXUSD,2140898000,2141059000,1747421602608
135,NDXUSD,2140938000,2141099000,1747421602804
135,NDXUSD,2140898000,2141061000,1747421603414
135,NDXUSD,2140891000,2141050000,1747421603743
135,NDXUSD,2140878000,2141039000,1747421604000
135,NDXUSD,2140889000,2141049000,1747421604342
135,NDXUSD,2140879000,2141039000,1747421604620
135,NDXUSD,2140898000,2141061000,1747421605103
135,NDXUSD,2140899000,2141059000,1747421605406
135,NDXUSD,2140890000,2141052000,1747421605807
41,XAUUSD,318703000,318733000,1747421605899
135,NDXUSD,2140881000,2141039000,1747421605957
41,XAUUSD,318695000,318722000,1747421606050
135,NDXUSD,2140898000,2141062000,1747421606136
135,NDXUSD,2140870000,2141030000,1747421606549
135,NDXUSD,2140891000,2141052000,1747421606813
41,XAUUSD,318693000,318718000,1747421606960
135,NDXUSD,2140880000,2141039000,1747421607000
135,NDXUSD,2140799000,2140960000,1747421607264
135,NDXUSD,2140820000,2140982000,1747421607414
135,NDXUSD,2140781000,2140939000,1747421607614
41,XAUUSD,318689000,318716000,1747421607670
135,NDXUSD,2140780000,0,1747421607932
41,XAUUSD,318679000,318710000,1747421607970
135,NDXUSD,2140769000,2140931000,1747421608222
41,XAUUSD,318687000,318711000,1747421608479
135,NDXUSD,2140748000,2140911000,1747421608501
135,NDXUSD,2140778000,2140942000,1747421608702
41,XAUUSD,318684000,318717000,1747421608731
41,XAUUSD,318682000,318709000,1747421609339
135,NDXUSD,2140788000,2140952000,1747421609408
135,NDXUSD,2140878000,2141042000,1747421609715
135,NDXUSD,2140920000,2141080000,1747421609873
135,NDXUSD,2140900000,2141059000,1747421610023
41,XAUUSD,318687000,318720000,1747421610196
41,XAUUSD,318685000,318722000,1747421610347
135,NDXUSD,2140878000,2141039000,1747421610527
135,NDXUSD,2140848000,2141009000,1747421610713
135,NDXUSD,2140831000,2140992000,1747421611000
135,NDXUSD,2140878000,2141041000,1747421611316
41,XAUUSD,318687000,318718000,1747421611316
41,XAUUSD,318691000,318719000,1747421611717
135,NDXUSD,2140869000,2141032000,1747421611831
135,NDXUSD,2140828000,2140990000,1747421611992
135,NDXUSD,2140851000,2141011000,1747421612281
135,NDXUSD,2140849000,0,1747421612602
135,NDXUSD,2140869000,2141031000,1747421612912
41,XAUUSD,318689000,318720000,1747421613230
135,NDXUSD,2140851000,2141012000,1747421613329
135,NDXUSD,2140831000,2140991000,1747421613480
135,NDXUSD,2140798000,2140962000,1747421613804
135,NDXUSD,2140821000,2140980000,1747421613954
41,XAUUSD,318682000,318710000,1747421614085
135,NDXUSD,2140829000,2140992000,1747421614207
41,XAUUSD,318685000,318711000,1747421614311
135,NDXUSD,2140799000,2140960000,1747421614408
41,XAUUSD,318686000,318716000,1747421614499
135,NDXUSD,2140768000,2140932000,1747421614558
41,XAUUSD,318681000,318713000,1747421614795
135,NDXUSD,2140771000,2140930000,1747421614858
135,NDXUSD,2140780000,2140942000,1747421615158
135,NDXUSD,2140781000,2140940000,1747421615504
135,NDXUSD,2140798000,2140959000,1747421615705
135,NDXUSD,2140820000,2140981000,1747421616001
135,NDXUSD,2140800000,2140961000,1747421616409
135,NDXUSD,2140821000,2140979000,1747421616610
135,NDXUSD,2140799000,2140962000,1747421616760
135,NDXUSD,2140789000,2140949000,1747421616910
135,NDXUSD,2140801000,2140960000,1747421617076
41,XAUUSD,318683000,318716000,1747421617230
135,NDXUSD,2140831000,2140992000,1747421617361
135,NDXUSD,2140821000,2140980000,1747421617530
135,NDXUSD,2140799000,2140961000,1747421617705
135,NDXUSD,2140780000,2140939000,1747421618015
135,NDXUSD,2140728000,2140892000,1747421618306
135,NDXUSD,2140740000,2140901000,1747421618466
135,NDXUSD,2140730000,2140892000,1747421619000
135,NDXUSD,2140720000,2140879000,1747421619261
135,NDXUSD,2140781000,2140940000,1747421619411
135,NDXUSD,2140800000,2140960000,1747421619561
41,XAUUSD,318675000,318709000,1747421619651
135,NDXUSD,2140828000,2140991000,1747421619751
41,XAUUSD,318681000,318704000,1747421619802
135,NDXUSD,2140849000,2141009000,1747421619901
41,XAUUSD,318682000,318708000,1747421619952
135,NDXUSD,2140829000,2140989000,1747421620053
135,NDXUSD,2140881000,2141039000,1747421620352
135,NDXUSD,2140849000,2141012000,1747421620697
135,NDXUSD,2140831000,2140991000,1747421620907
135,NDXUSD,2140880000,2141042000,1747421621057
41,XAUUSD,318683000,0,1747421621117
135,NDXUSD,2140899000,2141059000,1747421621401
41,XAUUSD,318681000,318714000,1747421621461
135,NDXUSD,2140880000,2141039000,1747421621713
135,NDXUSD,2140851000,2141011000,1747421621864
135,NDXUSD,2140891000,2141050000,1747421622014
135,NDXUSD,2140900000,2141059000,1747421622223
135,NDXUSD,2140881000,2141042000,1747421622506
41,XAUUSD,318677000,318708000,1747421622638
135,NDXUSD,2140889000,2141049000,1747421622657
135,NDXUSD,2140879000,2141042000,1747421622820
41,XAUUSD,318682000,318707000,1747421622978
135,NDXUSD,2140890000,2141050000,1747421623228
135,NDXUSD,2140900000,2141062000,1747421623604
135,NDXUSD,2140940000,2141100000,1747421623814
135,NDXUSD,2140930000,2141090000,1747421624000
135,NDXUSD,2140939000,2141100000,1747421624305
135,NDXUSD,2140929000,2141092000,1747421624632
135,NDXUSD,2140921000,2141082000,1747421624787
41,XAUUSD,318683000,318714000,1747421625009
135,NDXUSD,2140931000,2141089000,1747421625009
41,XAUUSD,318685000,318712000,1747421625160
135,NDXUSD,2140941000,2141100000,1747421625305
135,NDXUSD,2140948000,2141111000,1747421625460
41,XAUUSD,318683000,318715000,1747421625460
135,NDXUSD,2140931000,2141091000,1747421625811
41,XAUUSD,318688000,318717000,1747421625819
135,NDXUSD,2140898000,2141061000,1747421625961
41,XAUUSD,318690000,318723000,1747421625969
135,NDXUSD,2140891000,2141052000,1747421626111
41,XAUUSD,318688000,318724000,1747421626119
135,NDXUSD,2140879000,2141042000,1747421626421
41,XAUUSD,318692000,318726000,1747421626476
135,NDXUSD,2140868000,2141029000,1747421626707
41,XAUUSD,318695000,0,1747421626774
135,NDXUSD,2140880000,2141041000,1747421626857
41,XAUUSD,318696000,318727000,1747421627131
135,NDXUSD,2140828000,2140992000,1747421627309
41,XAUUSD,318701000,318725000,1747421627329
41,XAUUSD,318695000,318731000,1747421627541
135,NDXUSD,2140781000,2140939000,1747421627606
41,XAUUSD,318700000,318725000,1747421627786
41,XAUUSD,318697000,318733000,1747421627937
135,NDXUSD,2140789000,2140952000,1747421628000
135,NDXUSD,2140820000,2140981000,1747421628157
135,NDXUSD,2140801000,2140961000,1747421628307
135,NDXUSD,2140819000,2140979000,1747421628478
41,XAUUSD,318695000,318724000,1747421628543
41,XAUUSD,318701000,318727000,1747421628753
135,NDXUSD,2140828000,2140992000,1747421629000
135,NDXUSD,2140820000,2140981000,1747421629323
41,XAUUSD,318696000,318731000,1747421629463
135,NDXUSD,2140780000,2140942000,1747421629621
41,XAUUSD,318700000,318730000,1747421629712
41,XAUUSD,318701000,0,1747421629864
135,NDXUSD,2140798000,2140962000,1747421630012
41,XAUUSD,318695000,318731000,1747421630283
41,XAUUSD,318701000,318733000,1747421630592
135,NDXUSD,2140791000,2140951000,1747421630622
135,NDXUSD,2140800000,2140959000,1747421630772
41,XAUUSD,318702000,318734000,1747421631397
41,XAUUSD,0,318730000,1747421632001
135,NDXUSD,2140828000,2140991000,1747421632217
41,XAUUSD,318699000,318735000,1747421632239
135,NDXUSD,2140840000,2141001000,1747421632411
135,NDXUSD,2140888000,2141050000,1747421632561
135,NDXUSD,2140878000,2141039000,1747421632712
135,NDXUSD,2140901000,2141061000,1747421633114
135,NDXUSD,2140871000,2141029000,1747421633264
135,NDXUSD,2140841000,2140999000,1747421633414
135,NDXUSD,2140831000,2140989000,1747421633612
135,NDXUSD,2140841000,2141001000,1747421634042
41,XAUUSD,318701000,318728000,1747421634365
41,XAUUSD,318702000,318731000,1747421634515
135,NDXUSD,2140848000,2141012000,1747421634567
135,NDXUSD,2140840000,2141000000,1747421634849
41,XAUUSD,318699000,318734000,1747421635373
41,XAUUSD,318717000,318754000,1747421635524
